iter	Passed	Remaining
0	134	133917
1	135	67755
2	137	45761
3	139	34758
4	141	28123
5	142	23675
6	144	20512
7	147	18282
8	149	16412
9	150	14916
10	152	13683
11	153	12673
12	155	11804
13	157	11060
14	158	10409
15	159	9831
16	161	9325
17	162	8863
18	163	8441
19	164	8058
20	165	7712
21	166	7408
22	167	7111
23	168	6841
24	168	6589
25	169	6357
26	170	6141
27	171	5940
28	171	5748
29	172	5568
30	172	5398
31	173	5240
32	174	5101
33	174	4966
34	175	4836
35	175	4711
36	176	4591
37	176	4477
38	177	4369
39	177	4267
40	178	4170
41	178	4077
42	179	3989
43	179	3904
44	180	3823
45	180	3746
46	181	3672
47	181	3602
48	182	3533
49	182	3468
50	183	3407
51	183	3346
52	184	3288
53	184	3232
54	185	3178
55	185	3126
56	185	3076
57	186	3027
58	186	2980
59	187	2935
60	187	2891
61	188	2849
62	188	2807
63	189	2767
64	189	2729
65	190	2691
66	190	2655
67	190	2617
68	191	2582
69	191	2549
70	192	2516
71	192	2484
72	193	2454
73	193	2424
74	194	2395
75	194	2366
76	195	2338
77	195	2311
78	196	2285
79	196	2259
80	196	2234
81	197	2210
82	198	2187
83	198	2164
84	198	2140
85	199	2118
86	199	2094
87	200	2073
88	200	2055
89	201	2036
90	201	2017
91	202	1997
92	202	1978
93	203	1959
94	203	1941
95	204	1923
96	204	1905
97	205	1888
98	205	1871
99	206	1855
100	206	1838
101	206	1820
102	207	1805
103	207	1789
104	208	1774
105	208	1759
106	209	1745
107	209	1731
108	210	1717
109	210	1703
110	210	1689
111	211	1676
112	211	1663
113	212	1650
114	212	1638
115	213	1625
116	213	1613
117	214	1602
118	214	1590
119	215	1579
120	215	1567
121	216	1556
122	216	1543
123	216	1532
124	217	1522
125	217	1511
126	218	1501
127	218	1489
128	219	1479
129	219	1469
130	220	1459
131	220	1450
132	220	1440
133	221	1431
134	221	1421
135	222	1412
136	222	1403
137	223	1394
138	223	1385
139	224	1376
140	224	1368
141	225	1359
142	225	1351
143	225	1343
144	226	1335
145	226	1327
146	227	1319
147	228	1313
148	228	1305
149	229	1298
150	229	1290
151	230	1283
152	230	1276
153	230	1268
154	231	1261
155	231	1254
156	232	1247
157	232	1240
158	233	1233
159	233	1227
160	234	1220
161	234	1214
162	235	1207
163	235	1201
164	236	1194
165	236	1188
166	237	1182
167	237	1176
168	237	1170
169	238	1163
170	238	1158
171	239	1152
172	239	1146
173	240	1140
174	240	1134
175	241	1129
176	241	1123
177	242	1118
178	242	1113
179	243	1107
180	243	1101
181	243	1096
182	244	1090
183	244	1085
184	245	1080
185	245	1075
186	246	1070
187	246	1065
188	247	1060
189	247	1055
190	248	1050
191	248	1045
192	248	1040
193	249	1036
194	249	1031
195	250	1027
196	250	1022
197	251	1017
198	251	1013
199	252	1008
200	252	1004
201	253	1000
202	253	995
203	254	991
204	254	987
205	255	983
206	255	978
207	255	974
208	256	970
209	256	966
210	257	962
211	258	959
212	258	955
213	259	951
214	259	947
215	259	943
216	260	939
217	260	935
218	261	932
219	261	928
220	262	924
221	262	920
222	263	916
223	263	913
224	264	909
225	264	905
226	264	902
227	265	898
228	265	895
229	266	892
230	266	888
231	267	885
232	267	881
233	268	878
234	268	874
235	269	871
236	269	868
237	270	864
238	270	861
239	271	858
240	271	855
241	271	851
242	272	848
243	272	845
244	273	842
245	273	839
246	274	836
247	274	833
248	275	830
249	275	827
250	276	824
251	276	821
252	277	818
253	277	815
254	277	812
255	278	809
256	278	806
257	279	803
258	279	800
259	280	797
260	280	794
261	281	792
262	281	789
263	282	786
264	282	783
265	283	781
266	283	778
267	284	775
268	284	773
269	284	770
270	285	768
271	286	765
272	286	763
273	286	760
274	287	757
275	288	755
276	288	753
277	289	750
278	289	748
279	289	745
280	290	743
281	290	740
282	291	738
283	291	735
284	292	733
285	292	730
286	293	728
287	293	726
288	294	723
289	294	721
290	295	718
291	295	716
292	296	714
293	296	711
294	296	709
295	297	707
296	297	705
297	298	702
298	298	700
299	299	698
300	300	697
301	301	696
302	302	695
303	303	694
304	303	692
305	304	690
306	304	687
307	305	685
308	305	683
309	306	681
310	306	679
311	307	677
312	307	675
313	308	672
314	308	670
315	308	668
316	309	666
317	309	664
318	310	662
319	310	660
320	311	658
321	311	656
322	312	654
323	312	652
324	313	650
325	313	648
326	314	646
327	314	644
328	315	642
329	315	640
330	315	638
331	316	636
332	316	634
333	317	632
334	317	631
335	318	629
336	318	627
337	319	625
338	319	623
339	320	622
340	321	620
341	321	618
342	322	617
343	322	615
344	323	613
345	323	612
346	324	610
347	324	608
348	325	606
349	325	604
350	326	603
351	326	601
352	327	599
353	327	597
354	328	596
355	328	595
356	329	593
357	329	591
358	330	589
359	330	588
360	331	586
361	332	585
362	332	583
363	333	581
364	333	580
365	333	578
366	334	576
367	334	575
368	335	573
369	335	572
370	336	570
371	336	568
372	337	567
373	337	565
374	338	563
375	338	562
376	339	560
377	339	559
378	340	557
379	340	555
380	341	554
381	341	553
382	342	551
383	342	550
384	343	548
385	343	547
386	344	545
387	344	543
388	345	542
389	345	540
390	346	539
391	346	538
392	347	536
393	347	535
394	348	533
395	349	532
396	349	530
397	349	529
398	350	527
399	350	526
400	351	524
401	351	523
402	352	521
403	352	520
404	353	518
405	353	517
406	354	516
407	354	514
408	355	513
409	356	512
410	357	511
411	357	510
412	358	509
413	358	507
414	359	506
415	360	505
416	360	504
417	361	502
418	361	501
419	362	500
420	363	499
421	363	498
422	364	496
423	364	495
424	365	493
425	365	492
426	366	491
427	366	489
428	367	488
429	367	487
430	368	485
431	368	484
432	368	483
433	369	481
434	370	480
435	370	479
436	371	478
437	371	476
438	372	475
439	372	474
440	373	472
441	373	471
442	374	470
443	374	468
444	374	467
445	375	466
446	375	465
447	376	463
448	377	462
449	377	461
450	377	460
451	378	458
452	378	457
453	379	456
454	380	455
455	380	453
456	380	452
457	381	451
458	381	450
459	382	449
460	383	447
461	383	446
462	383	445
463	384	444
464	385	443
465	385	441
466	386	440
467	386	439
468	387	438
469	387	437
470	388	436
471	388	435
472	389	433
473	389	432
474	390	431
475	390	430
476	391	429
477	391	428
478	392	426
479	392	425
480	393	424
481	393	423
482	394	422
483	394	420
484	395	419
485	395	418
486	396	417
487	396	416
488	397	415
489	397	413
490	398	412
491	398	411
492	399	410
493	399	409
494	400	408
495	400	407
496	401	406
497	401	404
498	402	403
499	402	402
500	403	401
501	403	400
502	403	399
503	404	398
504	404	396
505	405	395
506	405	394
507	406	393
508	406	392
509	407	391
510	407	390
511	408	389
512	409	388
513	409	387
514	410	386
515	410	385
516	411	383
517	411	382
518	411	381
519	412	380
520	412	379
521	413	378
522	414	377
523	414	376
524	415	375
525	415	374
526	416	373
527	416	372
528	417	371
529	417	370
530	418	369
531	418	368
532	419	367
533	419	366
534	420	365
535	420	364
536	421	362
537	421	361
538	422	361
539	422	359
540	423	358
541	423	357
542	424	356
543	424	355
544	425	354
545	425	353
546	426	352
547	426	351
548	426	350
549	427	349
550	427	348
551	428	347
552	429	346
553	430	346
554	430	345
555	431	344
556	431	343
557	432	342
558	432	341
559	433	340
560	433	339
561	434	338
562	434	337
563	435	336
564	435	335
565	436	334
566	436	333
567	437	332
568	437	331
569	438	330
570	438	329
571	439	328
572	439	327
573	440	326
574	440	325
575	441	324
576	442	324
577	442	323
578	443	322
579	443	321
580	444	320
581	445	319
582	445	318
583	446	317
584	446	316
585	447	315
586	447	314
587	448	313
588	448	313
589	449	312
590	449	311
591	449	310
592	450	309
593	450	308
594	451	307
595	451	306
596	452	305
597	453	304
598	453	303
599	454	302
600	454	301
601	454	300
602	455	299
603	455	298
604	456	298
605	456	297
606	457	296
607	457	295
608	458	294
609	458	293
610	459	292
611	459	291
612	460	290
613	460	289
614	461	288
615	461	287
616	462	287
617	462	286
618	463	285
619	463	284
620	464	283
621	464	282
622	465	281
623	465	280
624	466	279
625	466	278
626	467	277
627	467	277
628	468	276
629	468	275
630	469	274
631	469	273
632	470	272
633	470	271
634	471	270
635	471	270
636	472	269
637	472	268
638	473	267
639	473	266
640	474	265
641	474	264
642	475	263
643	475	263
644	476	262
645	476	261
646	477	260
647	477	259
648	478	258
649	478	257
650	479	256
651	479	256
652	480	255
653	480	254
654	481	253
655	481	252
656	482	251
657	482	250
658	483	250
659	483	249
660	484	248
661	484	247
662	485	246
663	485	245
664	486	244
665	486	244
666	487	243
667	487	242
668	488	241
669	488	240
670	489	239
671	489	239
672	490	238
673	490	237
674	491	236
675	491	235
676	492	234
677	492	234
678	493	233
679	493	232
680	494	231
681	494	230
682	495	229
683	495	229
684	496	228
685	496	227
686	497	226
687	497	225
688	498	224
689	498	224
690	499	223
691	499	222
692	500	221
693	501	220
694	501	220
695	502	219
696	502	218
697	503	217
698	503	216
699	504	216
700	504	215
701	505	214
702	505	213
703	506	212
704	506	211
705	506	211
706	507	210
707	507	209
708	508	208
709	508	207
710	509	207
711	509	206
712	510	205
713	510	204
714	511	203
715	511	203
716	512	202
717	512	201
718	513	200
719	513	199
720	514	199
721	514	198
722	515	197
723	516	196
724	516	196
725	517	195
726	517	194
727	518	193
728	518	192
729	519	192
730	519	191
731	520	190
732	520	189
733	521	188
734	521	188
735	522	187
736	522	186
737	523	185
738	523	184
739	524	184
740	524	183
741	525	182
742	525	181
743	526	181
744	526	180
745	526	179
746	527	178
747	528	177
748	528	177
749	529	176
750	529	175
751	530	174
752	530	174
753	531	173
754	531	172
755	532	171
756	532	170
757	533	170
758	533	169
759	534	168
760	544	171
761	545	170
762	546	169
763	546	168
764	547	168
765	547	167
766	548	166
767	548	165
768	549	164
769	549	164
770	550	163
771	550	162
772	551	161
773	551	161
774	551	160
775	552	159
776	552	158
777	553	157
778	553	157
779	554	156
780	554	155
781	555	154
782	555	153
783	556	153
784	556	152
785	557	151
786	557	150
787	557	150
788	558	149
789	559	148
790	560	148
791	560	147
792	561	146
793	561	145
794	562	144
795	562	144
796	563	143
797	563	142
798	564	141
799	564	141
800	565	140
801	565	139
802	566	138
803	566	138
804	567	137
805	567	136
806	567	135
807	568	135
808	568	134
809	569	133
810	569	132
811	570	132
812	570	131
813	571	130
814	571	129
815	572	129
816	572	128
817	573	127
818	574	126
819	574	126
820	575	125
821	575	124
822	576	123
823	576	123
824	577	122
825	577	121
826	578	120
827	578	120
828	579	119
829	579	118
830	580	117
831	580	117
832	581	116
833	581	115
834	582	115
835	582	114
836	583	113
