iter	Passed	Remaining
0	205	205462
1	207	103560
2	209	69483
3	209	52273
4	210	41952
5	211	35105
6	212	30168
7	213	26480
8	214	23614
9	215	21369
10	217	19515
11	217	17938
12	218	16602
13	219	15458
14	220	14470
15	221	13596
16	223	12940
17	224	12259
18	225	11643
19	226	11080
20	226	10570
21	227	10108
22	227	9684
23	228	9295
24	229	8942
25	229	8611
26	230	8304
27	231	8020
28	231	7756
29	232	7507
30	232	7277
31	233	7061
32	234	6860
33	234	6668
34	235	6491
35	236	6321
36	238	6210
37	239	6059
38	239	5912
39	240	5773
40	241	5640
41	241	5513
42	242	5392
43	242	5276
44	243	5165
45	244	5060
46	244	4959
47	245	4863
48	246	4775
49	246	4688
50	247	4603
51	248	4522
52	248	4441
53	249	4362
54	249	4287
55	250	4214
56	250	4144
57	251	4076
58	251	4012
59	254	3981
60	254	3922
61	255	3863
62	255	3807
63	256	3752
64	257	3700
65	257	3648
66	258	3596
67	258	3546
68	259	3497
69	259	3450
70	260	3404
71	260	3360
72	261	3316
73	261	3274
74	262	3233
75	262	3193
76	263	3155
77	263	3118
78	264	3084
79	265	3050
80	265	3017
81	266	2985
82	267	2951
83	268	2925
84	269	2896
85	269	2867
86	270	2837
87	270	2807
88	271	2778
89	272	2750
90	272	2723
91	273	2696
92	273	2669
93	274	2644
94	274	2619
95	275	2593
96	275	2568
97	276	2544
98	276	2520
99	277	2497
100	277	2474
101	278	2453
102	279	2434
103	280	2413
104	280	2392
105	281	2371
106	282	2360
107	283	2342
108	284	2323
109	284	2305
110	285	2286
111	286	2268
112	286	2250
113	287	2232
114	287	2215
115	288	2200
116	289	2182
117	289	2165
118	290	2148
119	290	2131
120	291	2115
121	291	2098
122	292	2082
123	292	2067
124	293	2053
125	294	2039
126	294	2024
127	295	2010
128	295	1996
129	296	1982
130	297	1971
131	298	1959
132	298	1946
133	299	1932
134	299	1919
135	300	1906
136	300	1893
137	301	1880
138	301	1868
139	302	1855
140	302	1843
141	302	1830
142	303	1818
143	303	1806
144	304	1794
145	304	1783
146	305	1771
147	305	1760
148	306	1751
149	307	1741
150	307	1731
151	308	1721
152	309	1710
153	309	1700
154	310	1691
155	310	1681
156	311	1674
157	313	1669
158	313	1660
159	314	1651
160	314	1640
161	315	1632
162	316	1623
163	316	1615
164	317	1606
165	317	1597
166	318	1588
167	318	1579
168	319	1570
169	320	1562
170	320	1555
171	321	1547
172	322	1540
173	322	1531
174	323	1523
175	323	1515
176	324	1507
177	324	1499
178	325	1491
179	325	1484
180	326	1476
181	327	1473
182	328	1466
183	329	1460
184	329	1453
185	330	1446
186	331	1439
187	331	1432
188	332	1425
189	332	1419
190	333	1413
191	334	1407
192	335	1401
193	335	1394
194	336	1387
195	336	1380
196	337	1373
197	337	1367
198	338	1360
199	338	1354
200	339	1347
201	339	1341
202	340	1335
203	340	1328
204	341	1322
205	343	1324
206	344	1319
207	344	1313
208	345	1308
209	346	1302
210	346	1296
211	347	1290
212	347	1284
213	348	1279
214	348	1273
215	349	1267
216	349	1262
217	350	1256
218	350	1250
219	351	1245
220	351	1239
221	352	1234
222	352	1229
223	353	1224
224	353	1219
225	354	1213
226	354	1208
227	355	1203
228	355	1198
229	357	1197
230	358	1192
231	358	1188
232	359	1183
233	359	1178
234	360	1173
235	360	1168
236	361	1163
237	362	1160
238	363	1156
239	363	1152
240	364	1149
241	365	1146
242	366	1141
243	367	1137
244	367	1133
245	368	1129
246	368	1124
247	369	1120
248	370	1116
249	370	1111
250	371	1107
251	371	1103
252	373	1102
253	373	1098
254	374	1093
255	374	1089
256	375	1085
257	376	1081
258	376	1077
259	377	1073
260	377	1069
261	378	1065
262	378	1061
263	379	1057
264	379	1053
265	380	1049
266	380	1045
267	381	1041
268	381	1037
269	382	1033
270	382	1029
271	383	1026
272	383	1022
273	384	1018
274	384	1014
275	385	1010
276	385	1007
277	386	1003
278	388	1002
279	388	1000
280	389	996
281	390	993
282	390	990
283	391	987
284	392	983
285	392	980
286	393	977
287	394	974
288	394	970
289	395	967
290	395	963
291	396	960
292	396	957
293	397	953
294	397	950
295	398	947
296	398	944
297	399	940
298	399	937
299	400	934
300	401	931
301	401	928
302	403	927
303	403	924
304	404	921
305	405	918
306	405	915
307	406	912
308	406	909
309	407	906
310	407	903
311	408	899
312	408	896
313	409	893
314	409	890
315	410	887
316	410	884
317	411	882
318	412	879
319	412	877
320	413	874
321	414	872
322	414	869
323	415	866
324	415	863
325	416	860
326	416	858
327	418	857
328	419	855
329	419	852
330	420	849
331	420	846
332	421	844
333	421	841
334	422	838
335	422	835
336	423	833
337	423	830
338	424	827
339	424	824
340	425	822
341	425	819
342	426	816
343	426	814
344	427	811
345	427	808
346	428	806
347	428	803
348	429	801
349	429	798
350	430	795
351	430	793
352	431	790
353	431	788
354	433	788
355	434	786
356	435	784
357	435	781
358	436	779
359	436	776
360	437	774
361	437	771
362	438	769
363	439	767
364	439	765
365	440	763
366	441	761
367	441	759
368	442	756
369	443	754
370	443	752
371	444	750
372	445	748
373	445	745
374	446	743
375	446	741
376	448	741
377	449	739
378	449	736
379	450	734
380	450	732
381	451	730
382	451	727
383	452	725
384	452	723
385	453	721
386	453	718
387	454	716
388	454	714
389	455	712
390	455	710
391	456	707
392	456	705
393	457	703
394	457	701
395	458	699
396	458	696
397	459	694
398	459	692
399	460	690
400	460	688
401	461	686
402	462	684
403	463	683
404	464	681
405	464	679
406	465	677
407	465	675
408	466	673
409	466	671
